Date,Store,Product_Item,Quantity,Sales,Promotion,Holiday
2024-01-01,BTM-2,Milk 1L,42,2310,No,New Year
2024-01-01,BTM-2,Detergent,83,17430,Yes,New Year
2024-01-01,BTM-2,Face Wash,118,25960,No,New Year
2024-01-01,BTM-2,Baby Wash,317,57060,Yes,New Year
2024-01-01,BTM-2,Tomato,279,9765,No,New Year
2024-01-01,BTM-2,Soft Drink,114,5130,No,New Year
2024-01-01,BTM-2,Potato,255,7140,No,New Year
2024-01-01,BTM-2,Rice 5kg,31,10850,No,New Year
2024-01-01,BTM-2,Toothpaste,297,28215,No,New Year
2024-01-01,BTM-2,Butter,160,15200,No,New Year
2024-01-01,BTM-2,Eggs Pack,88,7920,No,New Year
2024-01-01,Koramangala,Banana,226,11300,Yes,New Year
2024-01-01,Koramangala,Chocolate,313,9390,Yes,New Year
2024-01-01,Koramangala,Rice 5kg,270,94500,No,New Year
2024-01-01,Koramangala,Eggs Pack,250,22500,No,New Year
2024-01-01,Koramangala,Biscuits,300,7500,No,New Year
2024-01-01,Koramangala,Onion,59,1770,Yes,New Year
2024-01-01,Koramangala,Cooking Oil,141,25380,No,New Year
2024-01-01,Koramangala,Detergent,153,32130,Yes,New Year
2024-01-01,Koramangala,Paneer,227,24970,Yes,New Year
2024-01-01,Koramangala,Face Wash,204,44880,No,New Year
2024-01-01,Koramangala,Bread,91,3640,No,New Year
2024-01-01,Koramangala,Coffee,165,46200,No,New Year
2024-01-01,Koramangala,Butter,286,27170,No,New Year
2024-01-01,HSR Layout,Soap,51,2295,No,New Year
2024-01-01,HSR Layout,Toothpaste,42,3990,No,New Year
2024-01-01,HSR Layout,Maggi,183,3294,No,New Year
2024-01-01,HSR Layout,Eggs Pack,54,4860,No,New Year
2024-01-01,HSR Layout,Paneer,247,27170,No,New Year
2024-01-01,HSR Layout,Onion,111,3330,No,New Year
2024-01-01,HSR Layout,Chips,181,3620,No,New Year
2024-01-01,HSR Layout,Butter,84,7980,No,New Year
2024-01-01,HSR Layout,Baby Wash,82,14760,No,New Year
2024-01-01,HSR Layout,Detergent,244,51240,No,New Year
2024-01-01,HSR Layout,Coffee,253,70840,No,New Year
2024-01-01,HSR Layout,Biscuits,253,6325,No,New Year
2024-01-01,HSR Layout,Face Wash,168,36960,No,New Year
2024-01-01,HSR Layout,Potato,82,2296,No,New Year
2024-01-01,Electronic City,Juice,378,22680,Yes,New Year
2024-01-01,Electronic City,Eggs Pack,378,34020,Yes,New Year
2024-01-01,Electronic City,Banana,276,13800,No,New Year
2024-01-01,Electronic City,Bread,72,2880,No,New Year
2024-01-01,Electronic City,Rice 5kg,196,68600,No,New Year
2024-01-01,Electronic City,Soft Drink,204,9180,No,New Year
2024-01-01,Electronic City,Maggi,169,3042,Yes,New Year
2024-01-01,Electronic City,Chips,223,4460,No,New Year
2024-01-01,Electronic City,Toothpaste,351,33345,Yes,New Year
2024-01-01,Electronic City,Tea Powder,274,38360,No,New Year
2024-01-01,Electronic City,Paneer,88,9680,No,New Year
2024-01-01,Electronic City,Potato,91,2548,No,New Year
2024-01-01,Electronic City,Biscuits,336,8400,Yes,New Year
2024-01-01,Electronic City,Butter,217,20615,No,New Year
2024-01-01,Electronic City,Coffee,93,26040,Yes,New Year
2024-01-01,Electronic City,Face Wash,147,32340,No,New Year
